CustomerID,Recency,Frequency,Monetary
KH_10319,42,17,1940.49
KH_10549,28,6,854.5
KH_10999,321,1,108.37
KH_10715,213,4,974.42
KH_10754,168,5,541.06
KH_10328,33,15,1510.58
KH_10383,27,8,2263.24
KH_10452,72,5,802.02
KH_10523,54,7,639.53
KH_10219,36,11,1705.84
KH_10788,174,4,708.65
KH_10437,89,3,490.34
KH_10765,191,6,937.29
KH_10089,9,25,7210.76
KH_10064,5,39,6223.08
KH_10827,133,3,825.02
KH_10717,169,4,857.87
KH_10352,52,12,880.97
KH_10937,300,1,70.84
KH_10257,28,15,1838.5
KH_10636,61,8,409.47
KH_10645,63,6,791.88
KH_10555,43,5,860.1
KH_10960,318,1,50.75
KH_10169,27,13,1831.93
KH_10918,294,2,121.75
KH_10529,31,5,662.25
KH_10824,169,8,641.62
KH_10986,306,1,56.6
KH_10817,171,7,741.47
KH_10087,17,12,6115.16
KH_10433,53,9,676.5
KH_10185,24,18,1848.38
KH_10979,295,2,116.74
KH_10535,58,7,569.76
KH_10295,51,15,2179.69
KH_10893,288,2,125.73
KH_10426,52,7,875.48
KH_10714,142,4,490.62
KH_10261,39,13,2197.26
KH_10238,29,16,1191.03
KH_10560,59,5,726.86
KH_10584,43,8,573.36
KH_10446,31,10,722.91
KH_10868,323,2,59.53
KH_10801,195,7,862.65
KH_10600,42,11,626.81
KH_10850,114,4,1242.11
KH_10266,29,8,1346.15
KH_10996,362,1,98.1
KH_10530,67,4,683.39
KH_10056,18,23,3695.45
KH_10121,17,46,9209.35
KH_10216,46,11,1939.06
KH_10026,13,40,3314.46
KH_10073,12,39,8112.06
KH_10045,3,34,4652.13
KH_10248,32,17,1140.62
KH_10722,191,4,1012.4
KH_10282,29,10,1692.83
KH_10894,293,2,103.62
KH_10915,320,2,122.42
KH_10811,158,4,840.47
KH_10245,1,10,1772.32
KH_10823,179,6,811.87
KH_10322,42,11,2384.16
KH_10644,29,3,618.23
KH_10159,27,6,2106.4
KH_10978,212,1,61.15
KH_10430,99,5,1010.87
KH_10942,279,1,76.34
KH_10463,66,5,693.58
KH_10310,57,17,2711.31
KH_10698,145,5,469.01
KH_10061,9,38,6434.82
KH_10885,345,3,15.0
KH_10596,59,7,613.4
KH_10768,175,6,729.48
KH_10650,55,6,670.75
KH_10651,109,5,984.98
KH_10866,270,1,82.69
KH_10669,172,5,440.87
KH_10299,28,11,2262.35
KH_10690,197,6,978.81
KH_10315,72,12,1917.69
KH_10311,45,15,1764.19
KH_10362,27,15,2880.92
KH_10480,49,4,555.36
KH_10111,1,23,6780.91
KH_10990,321,1,191.47
KH_10487,18,7,624.34
KH_10364,27,20,1109.57
KH_10255,40,12,1602.36
KH_10260,29,10,1683.22
KH_10803,145,4,637.17
KH_10678,218,5,388.49
KH_10495,57,5,718.38
KH_10671,204,7,681.03
KH_10378,61,16,1805.75
KH_10527,36,3,483.73
KH_10846,240,7,828.24
KH_10138,10,38,3015.82
KH_10356,36,14,2304.42
KH_10366,37,15,2947.89
KH_10943,248,1,120.62
KH_10750,186,7,547.36
KH_10949,291,1,87.52
KH_10830,209,7,437.28
KH_10657,95,4,627.68
KH_10200,14,8,2107.66
KH_10214,21,14,1539.87
KH_10409,27,9,656.13
KH_10333,33,12,2576.17
KH_10209,36,11,2322.3
KH_10614,98,5,770.15
KH_10079,13,25,9441.65
KH_10030,10,59,6631.02
KH_10536,48,7,745.07
KH_10696,223,4,357.59
KH_10558,63,9,634.99
KH_10837,184,6,963.95
KH_10597,28,6,633.42
KH_10166,32,18,2498.05
KH_10919,313,1,98.92
KH_10496,53,7,544.65
KH_10825,181,5,950.45
KH_10066,20,40,4777.8
KH_10142,20,27,5441.15
KH_10926,247,1,105.09
KH_10828,225,4,871.71
KH_10656,235,4,785.31
KH_10332,58,12,2039.86
KH_10665,202,8,562.68
KH_10250,26,14,2471.04
KH_10908,180,1,49.8
KH_10709,206,4,922.85
KH_10306,63,12,1382.04
KH_10735,222,3,776.33
KH_10976,192,3,99.23
KH_10050,1,21,5115.8
KH_10897,260,2,15.0
KH_10003,16,25,6845.13
KH_10545,74,1,708.77
KH_10351,63,15,1403.87
KH_10905,259,1,34.31
KH_10537,43,6,474.13
KH_10345,31,20,1772.12
KH_10995,307,2,56.92
KH_10482,52,2,665.04
KH_10576,51,8,931.22
KH_10034,6,37,4281.11
KH_10032,23,23,3884.94
KH_10232,10,9,1099.14
KH_10964,243,1,52.74
KH_10193,36,12,1738.77
KH_10334,29,18,2054.09
KH_10004,21,34,6598.67
KH_10205,25,10,2164.2
KH_10515,55,7,631.66
KH_10800,213,2,805.01
KH_10307,23,11,2125.75
KH_10110,12,40,6425.99
KH_10431,44,7,639.78
KH_10078,10,21,5830.02
KH_10085,7,53,4133.56
KH_10287,28,20,2313.63
KH_10083,21,32,1676.99
KH_10992,278,1,119.08
KH_10790,238,8,240.08
KH_10895,332,1,115.33
KH_10399,49,14,1950.76
KH_10324,55,11,1335.65
KH_10520,51,5,502.31
KH_10917,253,1,87.98
KH_10923,294,1,87.21
KH_10006,11,25,5711.19
KH_10732,141,7,465.08
KH_10466,27,6,528.22
KH_10098,14,25,7936.97
KH_10267,4,15,1267.39
KH_10358,35,17,2863.6
KH_10869,333,1,116.39
KH_10799,118,6,917.59
KH_10381,46,12,1930.95
KH_10632,71,6,769.41
KH_10382,18,22,2476.4
KH_10491,63,6,342.47
KH_10119,19,28,7622.73
KH_10901,196,3,93.18
KH_10251,36,18,1568.5
KH_10524,65,3,563.0
KH_10010,15,39,5136.05
KH_10197,19,15,2658.96
KH_10604,69,5,746.54
KH_10082,14,34,4421.09
KH_10784,88,3,528.34
KH_10588,86,7,756.33
KH_10798,137,8,650.06
KH_10240,26,7,2321.19
KH_10291,36,14,1817.78
KH_10212,34,14,1938.92
KH_10718,100,5,805.15
KH_10360,33,23,1703.83
KH_10450,24,7,860.19
KH_10228,36,13,1904.01
KH_10951,245,2,143.24
KH_10947,271,2,98.41
KH_10797,207,6,650.26
KH_10502,75,6,669.08
KH_10465,58,6,635.71
KH_10363,35,15,1224.69
KH_10469,40,4,702.18
KH_10936,344,1,153.91
KH_10429,74,4,746.11
KH_10008,17,37,4435.17
KH_10156,23,16,2352.78
KH_10542,55,1,341.27
KH_10441,47,5,661.2
KH_10483,69,7,409.15
KH_10423,68,6,812.99
KH_10779,174,6,385.35
KH_10950,335,2,29.78
KH_10335,20,17,1740.13
KH_10577,42,5,578.81
KH_10935,365,1,130.04
KH_10568,36,4,882.81
KH_10595,48,4,664.09
KH_10531,86,6,807.48
KH_10582,45,4,970.8
KH_10708,147,6,927.43
KH_10449,60,8,714.12
KH_10454,62,6,350.49
KH_10229,39,14,2126.08
KH_10353,31,14,1562.47
KH_10729,188,1,1001.09
KH_10213,31,24,2783.87
KH_10080,1,39,4045.06
KH_10149,15,40,4575.04
KH_10303,48,11,2789.77
KH_10629,51,8,878.17
KH_10778,228,3,1083.32
KH_10507,56,8,728.08
KH_10343,31,18,1782.47
KH_10486,28,3,417.64
KH_10712,149,6,1104.48
KH_10134,15,20,6791.58
KH_10704,168,2,652.09
KH_10312,34,8,1947.84
KH_10723,234,6,662.65
KH_10630,49,5,1032.5
KH_10001,15,35,4007.81
KH_10317,37,15,2931.54
KH_10707,180,8,395.1
KH_10548,74,10,524.09
KH_10873,275,1,15.0
KH_10533,51,4,851.56
KH_10478,63,9,673.33
KH_10405,56,7,753.77
KH_10173,12,9,2228.29
KH_10126,25,37,7963.54
KH_10395,44,21,1133.15
KH_10421,31,8,772.36
KH_10553,66,5,465.15
KH_10904,231,1,108.18
KH_10091,13,24,3882.85
KH_10940,310,2,79.3
KH_10182,21,10,2041.46
KH_10275,47,12,2298.32
KH_10896,178,1,252.05
KH_10070,8,33,4108.58
KH_10292,28,17,1833.25
KH_10132,12,39,1829.38
KH_10301,46,12,2299.1
KH_10425,51,4,511.62
KH_10327,20,12,1986.19
KH_10145,14,36,3151.95
KH_10424,63,6,790.77
KH_10581,69,7,853.67
KH_10136,21,12,5633.37
KH_10451,62,8,193.42
KH_10165,33,14,1809.62
KH_10029,8,29,6623.42
KH_10774,188,5,374.74
KH_10194,22,14,1543.11
KH_10389,46,15,2097.52
KH_10853,365,3,50.81
KH_10170,26,14,1206.15
KH_10706,189,6,1055.12
KH_10141,13,30,6191.32
KH_10174,56,17,1556.32
KH_10007,21,51,7799.8
KH_10746,225,5,785.87
KH_10479,59,5,602.73
KH_10074,21,16,7226.69
KH_10911,323,2,73.59
KH_10814,140,6,656.26
KH_10239,50,14,1951.0
KH_10146,17,25,6705.41
KH_10793,205,5,596.72
KH_10235,25,16,1632.57
KH_10221,10,17,2085.28
KH_10924,361,1,92.43
KH_10501,42,6,1022.21
KH_10133,6,48,5015.07
KH_10991,239,2,155.66
KH_10775,155,3,795.95
KH_10186,14,16,1328.74
KH_10042,13,41,5938.64
KH_10697,179,6,489.54
KH_10109,14,36,5716.53
KH_10589,56,10,594.71
KH_10057,7,37,5466.68
KH_10406,56,2,636.57
KH_10443,43,5,692.61
KH_10758,215,4,779.85
KH_10998,224,1,45.33
KH_10025,9,35,3689.17
KH_10468,37,7,648.34
KH_10540,58,6,642.54
KH_10532,79,8,721.98
KH_10619,86,8,649.73
KH_10695,194,5,699.14
KH_10927,360,1,90.35
KH_10339,16,16,2118.83
KH_10052,10,38,8155.64
KH_10508,55,4,771.57
KH_10517,34,6,292.67
KH_10921,325,1,66.25
KH_10782,204,4,1149.84
KH_10265,53,18,1686.9
KH_10818,140,4,165.17
KH_10711,116,2,924.69
KH_10683,155,5,805.95
KH_10833,207,2,858.88
KH_10519,43,3,642.0
KH_10448,40,8,770.2
KH_10019,7,30,6083.5
KH_10716,172,6,787.87
KH_10484,74,6,816.81
KH_10569,46,5,483.63
KH_10434,107,5,625.43
KH_10368,58,15,2103.76
KH_10084,9,25,4553.64
KH_10062,11,43,8258.93
KH_10639,65,7,875.44
KH_10273,40,23,1884.57
KH_10286,39,15,2043.52
KH_10361,26,13,725.27
KH_10355,74,15,2588.91
KH_10457,88,7,655.26
KH_10279,13,12,2525.34
KH_10013,13,44,6985.75
KH_10183,11,16,1414.86
KH_10369,1,12,2117.64
KH_10882,309,3,15.0
KH_10616,74,6,582.32
KH_10224,44,18,2814.02
KH_10573,28,8,624.55
KH_10971,255,1,18.51
KH_10654,154,5,378.51
KH_10546,25,4,495.02
KH_10583,98,5,457.82
KH_10634,43,7,660.93
KH_10177,44,14,1646.46
KH_10666,184,3,1103.43
KH_10674,188,5,845.45
KH_10586,61,5,730.43
KH_10874,287,2,71.62
KH_10394,44,14,1993.9
KH_10164,38,16,2169.05
KH_10249,41,14,2514.44
KH_10635,52,4,1155.98
KH_10886,259,1,75.01
KH_10670,225,6,1028.95
KH_10376,23,8,1723.7
KH_10413,41,6,288.92
KH_10075,1,27,9375.73
KH_10114,27,22,7799.82
KH_10599,79,8,780.97
KH_10962,245,1,70.66
KH_10391,30,9,1897.42
KH_10105,11,17,4689.88
KH_10115,11,29,6098.17
KH_10418,61,7,714.29
KH_10526,15,6,759.55
KH_10458,63,8,851.52
KH_10410,90,7,504.58
KH_10093,8,37,3123.58
KH_10931,305,2,129.77
KH_10090,15,41,4461.57
KH_10337,47,16,2385.26
KH_10989,328,3,49.79
KH_10922,329,1,124.8
KH_10934,306,1,133.21
KH_10606,40,5,760.59
KH_10594,58,7,660.27
KH_10612,66,6,1081.63
KH_10095,10,20,7622.99
KH_10012,9,40,7477.8
KH_10397,40,8,1841.16
KH_10534,85,6,731.68
KH_10044,10,20,4587.5
KH_10043,11,34,5940.94
KH_10330,51,19,1997.94
KH_10168,46,15,2660.42
KH_10498,49,7,536.72
KH_10877,363,2,57.54
KH_10598,36,8,967.76
KH_10757,161,7,574.99
KH_10101,4,19,2630.03
KH_10427,56,6,583.53
KH_10179,81,12,1137.24
KH_10445,42,9,513.08
KH_10417,42,9,739.76
KH_10871,292,3,69.51
KH_10883,287,2,70.73
KH_10681,141,5,479.06
KH_10178,40,15,759.25
KH_10396,30,10,2048.21
KH_10912,233,1,109.34
KH_10794,134,3,1080.91
KH_10961,231,1,62.02
KH_10685,218,1,728.2
KH_10384,42,5,1143.27
KH_10957,235,1,132.29
KH_10752,145,8,512.04
KH_10258,29,12,2377.73
KH_10539,47,4,674.02
KH_10336,10,21,2283.84
KH_10016,9,36,5537.81
KH_10325,59,14,2585.04
KH_10759,191,1,844.92
KH_10223,25,17,1839.04
KH_10180,52,11,2192.19
KH_10984,327,1,106.55
KH_10023,12,31,4027.2
KH_10357,35,9,1540.33
KH_10667,172,3,586.05
KH_10862,294,2,114.36
KH_10341,30,17,1716.1
KH_10432,28,5,617.12
KH_10552,19,9,999.56
KH_10834,204,4,490.33
KH_10204,43,18,1558.88
KH_10631,61,7,458.68
KH_10094,10,41,8796.63
KH_10559,25,7,731.96
KH_10069,14,27,5675.82
KH_10623,48,5,486.91
KH_10285,38,14,2021.87
KH_10845,171,1,1326.68
KH_10435,39,6,823.99
KH_10154,43,8,2499.69
KH_10076,17,43,4118.77
KH_10731,212,4,861.15
KH_10447,56,10,855.54
KH_10189,60,21,1750.57
KH_10272,60,20,2064.67
KH_10237,22,17,1298.41
KH_10488,65,5,544.61
KH_10118,5,18,5708.21
KH_10944,257,1,87.38
KH_10513,83,1,970.2
KH_10826,202,6,840.67
KH_10592,41,9,681.16
KH_10127,6,34,3763.14
KH_10117,12,48,8292.07
KH_10474,49,4,715.03
KH_10694,208,2,557.49
KH_10058,10,37,4980.41
KH_10864,303,1,122.25
KH_10913,280,2,65.76
KH_10370,51,15,2234.04
KH_10269,7,14,1639.53
KH_10047,9,23,2893.45
KH_10350,45,11,1468.87
KH_10196,43,11,1723.5
KH_11000,356,1,88.79
KH_10835,166,7,615.66
KH_10737,196,5,687.13
KH_10264,30,15,1067.13
KH_10444,35,6,889.14
KH_10676,164,9,1082.12
KH_10305,41,20,2348.68
KH_10342,60,16,2469.07
KH_10967,332,2,109.1
KH_10150,14,38,3593.42
KH_10125,16,22,6661.68
KH_10787,160,7,623.22
KH_10051,14,36,6059.63
KH_10354,18,19,1254.61
KH_10928,325,1,103.59
KH_10143,2,26,1778.6
KH_10471,77,8,687.85
KH_10400,32,15,2463.86
KH_10626,16,5,514.51
KH_10321,23,13,2347.49
KH_10020,4,24,5265.74
KH_10810,204,7,389.39
KH_10791,193,8,716.54
KH_10809,167,6,382.23
KH_10408,42,7,1021.98
KH_10538,49,5,699.54
KH_10621,66,6,323.73
KH_10039,4,24,6243.28
KH_10176,31,13,999.71
KH_10246,23,18,2247.65
KH_10829,209,6,1234.14
KH_10668,174,2,293.16
KH_10755,126,2,890.51
KH_10859,306,1,142.19
KH_10155,27,8,1813.03
KH_10288,22,10,1957.46
KH_10603,79,6,891.16
KH_10570,37,8,606.05
KH_10744,186,2,892.43
KH_10018,14,51,4941.52
KH_10128,9,26,6734.89
KH_10323,63,8,2137.43
KH_10256,29,13,1547.77
KH_10658,306,4,755.85
KH_10965,313,3,143.92
KH_10191,35,7,1943.77
KH_10116,14,20,4152.72
KH_10617,56,4,538.2
KH_10607,27,6,397.24
KH_10181,33,15,2203.61
KH_10302,21,12,546.69
KH_10760,188,5,838.0
KH_10713,149,7,439.36
KH_10724,128,5,709.13
KH_10686,201,8,530.38
KH_10980,277,1,102.99
KH_10518,49,7,550.55
KH_10985,307,1,28.8
KH_10046,8,36,5917.69
KH_10910,354,2,145.29
KH_10158,19,21,2055.54
KH_10852,196,2,128.33
KH_10172,1,7,1543.53
KH_10017,6,40,6727.52
KH_10512,71,5,706.42
KH_10049,14,33,4206.8
KH_10972,319,2,92.25
KH_10941,365,2,134.86
KH_10516,29,5,519.59
KH_10953,316,2,113.67
KH_10481,58,6,426.86
KH_10284,69,11,2784.54
KH_10719,205,9,817.67
KH_10878,340,2,68.29
KH_10226,8,8,2046.35
KH_10027,5,32,7584.6
KH_10955,257,1,57.04
KH_10438,44,2,487.8
KH_10952,365,3,126.1
KH_10365,24,14,2310.16
KH_10230,21,16,1389.74
KH_10038,1,31,4921.51
KH_10966,222,2,84.65
KH_10375,14,19,1510.72
KH_10470,80,10,779.27
KH_10968,228,2,72.19
KH_10851,211,2,73.07
KH_10705,104,3,1138.36
KH_10842,182,6,405.37
KH_10195,58,16,1399.27
KH_10855,247,2,143.72
KH_10865,245,2,111.34
KH_10504,40,4,407.53
KH_10970,321,1,105.8
KH_10831,198,4,838.41
KH_10580,92,8,534.94
KH_10969,318,2,22.18
KH_10163,25,12,1938.43
KH_10909,335,1,77.0
KH_10153,20,11,1286.81
KH_10802,144,3,962.05
KH_10994,283,1,86.51
KH_10756,147,6,1091.81
KH_10112,12,31,3475.64
KH_10227,11,11,1867.1
KH_10689,154,4,942.55
KH_10104,7,42,5584.57
KH_10422,61,5,633.28
KH_10420,98,7,601.61
KH_10751,213,5,490.95
KH_10587,81,4,534.27
KH_10781,180,2,568.53
KH_10673,206,4,760.0
KH_10120,17,33,5621.53
KH_10054,16,43,5212.11
KH_10152,49,18,2008.42
KH_10404,66,11,879.75
KH_10946,251,1,49.09
KH_10208,22,15,2135.83
KH_10659,222,8,275.94
KH_10844,190,4,642.88
KH_10763,196,7,840.56
KH_10009,9,20,6484.78
KH_10808,206,5,1031.17
KH_10037,13,37,4014.11
KH_10453,15,4,562.27
KH_10652,230,8,874.25
KH_10254,39,12,1967.3
KH_10304,55,19,1787.18
KH_10747,180,3,793.56
KH_10572,89,3,641.31
KH_10624,38,4,723.06
KH_10733,199,1,714.11
KH_10892,267,2,15.0
KH_10263,48,20,2366.94
KH_10611,82,9,991.85
KH_10298,20,24,950.81
KH_10415,49,5,583.64
KH_10151,34,12,1741.44
KH_10789,162,4,726.35
KH_10641,68,7,735.45
KH_10890,287,2,110.32
KH_10551,32,6,563.68
KH_10887,224,1,73.95
KH_10489,33,4,737.45
KH_10148,4,35,3808.22
KH_10147,5,41,6159.88
KH_10721,182,4,981.83
KH_10932,313,1,76.78
KH_10740,109,6,318.36
KH_10660,189,6,822.16
KH_10349,32,19,2567.53
KH_10464,37,2,391.65
KH_10326,27,21,1334.14
KH_10187,25,15,2526.53
KH_10124,4,32,7248.83
KH_10854,309,2,103.82
KH_10609,49,4,465.09
KH_10144,13,40,5339.58
KH_10959,299,2,140.42
KH_10198,32,11,2138.38
KH_10610,50,8,705.73
KH_10280,52,13,2232.6
KH_10294,40,16,1873.38
KH_10401,58,7,743.11
KH_10123,20,44,5051.86
KH_10184,38,7,1828.53
KH_10203,14,10,1876.83
KH_10439,66,3,851.06
KH_10247,44,14,2143.55
KH_10416,80,7,663.7
KH_10933,300,1,59.43
KH_10766,157,7,941.82
KH_10907,260,2,78.35
KH_10836,157,6,646.23
KH_10888,280,2,150.53
KH_10130,9,28,2334.27
KH_10638,87,6,764.18
KH_10403,57,6,794.25
KH_10785,158,4,582.61
KH_10771,219,6,988.24
KH_10736,290,6,627.62
KH_10914,290,1,125.32
KH_10220,46,21,2040.87
KH_10642,78,5,609.5
KH_10916,323,2,168.94
KH_10753,154,2,703.21
KH_10807,144,6,1457.27
KH_10920,363,1,146.83
KH_10625,34,9,1053.33
KH_10875,365,3,93.76
KH_10761,214,6,738.99
KH_10387,31,10,1407.88
KH_10973,303,1,40.27
KH_10510,64,5,841.11
KH_10268,20,18,2372.37
KH_10820,172,3,507.15
KH_10442,51,11,649.61
KH_10497,73,4,622.57
KH_10113,12,1,2738.59
KH_10692,210,6,487.62
KH_10233,34,16,2029.65
KH_10870,278,2,144.16
KH_10608,85,9,477.18
KH_10672,62,5,582.93
KH_10374,29,11,1821.83
KH_10982,275,1,145.89
KH_10843,187,6,665.75
KH_10234,17,16,2141.24
KH_10786,131,6,934.9
KH_10677,225,2,630.06
KH_10318,46,15,1824.07
KH_10649,80,7,882.69
KH_10411,30,6,879.27
KH_10899,350,2,83.5
KH_10710,218,5,432.93
KH_10359,38,17,2291.79
KH_10259,41,19,2094.62
KH_10745,147,8,594.26
KH_10628,33,9,628.52
KH_10633,72,4,596.24
KH_10283,44,10,1705.26
KH_10377,18,12,1088.17
KH_10385,17,16,1404.67
KH_10225,24,16,2627.39
KH_10954,342,1,155.84
KH_10815,210,6,688.64
KH_10473,33,6,567.92
KH_10348,34,15,1201.98
KH_10506,37,7,394.86
KH_10640,70,5,697.64
KH_10988,213,2,98.73
KH_10929,268,1,158.12
KH_10906,281,1,125.02
KH_10620,65,7,595.02
KH_10856,317,2,74.47
KH_10804,225,6,566.94
KH_10646,42,10,613.47
KH_10847,116,4,375.6
KH_10557,44,6,930.64
KH_10958,335,1,85.54
KH_10578,76,9,642.34
KH_10796,177,6,923.3
KH_10086,9,38,5770.71
KH_10243,43,15,2335.41
KH_10699,173,4,771.82
KH_10160,17,21,2051.47
KH_10525,56,7,710.36
KH_10036,5,39,5235.3
KH_10541,58,4,656.86
KH_10171,31,15,1907.65
KH_10655,156,2,1022.99
KH_10891,352,2,100.65
KH_10858,290,2,85.78
KH_10848,147,3,578.81
KH_10945,236,1,107.96
KH_10734,200,7,676.41
KH_10096,3,29,4655.48
KH_10564,36,6,365.26
KH_10241,48,16,2607.77
KH_10743,159,9,396.93
KH_10575,84,10,915.86
KH_10691,212,2,258.45
KH_10461,66,4,975.19
KH_10554,70,4,845.45
KH_10889,250,2,79.6
KH_10207,26,16,2252.84
KH_10393,19,17,1579.38
KH_10795,222,3,405.87
KH_10398,16,11,2098.62
KH_10767,82,1,529.18
KH_10849,176,6,975.35
KH_10218,20,21,1632.25
KH_10005,11,35,5462.38
KH_10769,237,4,890.83
KH_10643,59,8,728.44
KH_10930,266,2,134.42
KH_10613,64,2,794.85
KH_10739,179,4,610.81
KH_10547,4,7,907.83
KH_10726,187,8,848.56
KH_10684,214,8,707.84
KH_10099,12,50,5293.83
KH_10805,132,9,448.71
KH_10728,230,4,704.45
KH_10574,23,5,820.34
KH_10407,41,8,801.06
KH_10503,52,4,552.49
KH_10048,18,34,2966.57
KH_10033,12,21,5636.45
KH_10780,162,6,893.23
KH_10840,121,4,733.73
KH_10201,49,10,2479.71
KH_10135,6,53,8204.24
KH_10028,14,47,6924.99
KH_10881,309,2,15.0
KH_10231,45,15,1734.18
KH_10490,12,1,921.28
KH_10773,184,4,523.5
KH_10379,49,20,1405.13
KH_10289,47,18,1733.43
KH_10419,38,4,807.7
KH_10675,179,3,999.35
KH_10392,52,17,1249.69
KH_10593,95,6,601.45
KH_10499,60,8,873.68
KH_10139,17,35,2433.91
KH_10063,5,42,5304.23
KH_10472,67,7,985.11
KH_10648,67,5,674.73
KH_10129,13,33,7405.16
KH_10977,307,2,145.55
KH_10521,56,8,656.37
KH_10839,130,5,408.57
KH_10963,320,3,73.84
KH_10065,17,29,6742.26
KH_10813,182,5,857.22
KH_10015,2,42,7849.86
KH_10157,33,9,2004.23
KH_10041,16,28,4020.0
KH_10493,55,9,651.18
KH_10380,54,14,1353.38
KH_10188,19,18,2244.81
KH_10764,176,3,410.58
KH_10217,43,14,1556.86
KH_10792,192,7,547.57
KH_10053,8,43,7043.79
KH_10879,304,1,106.69
KH_10338,36,13,1297.58
KH_10749,167,5,524.06
KH_10720,130,5,388.38
KH_10725,59,4,337.22
KH_10296,27,16,1813.68
KH_10702,174,5,764.21
KH_10252,33,12,2028.11
KH_10727,252,8,863.01
KH_10462,57,6,813.58
KH_10456,31,5,927.26
KH_10997,344,1,105.31
KH_10816,159,6,801.97
KH_10863,244,2,50.91
KH_10270,30,18,2005.93
KH_10202,64,9,2266.09
KH_10162,36,14,2448.12
KH_10556,3,4,559.29
KH_10730,160,7,636.48
KH_10402,46,9,768.05
KH_10703,148,6,583.33
KH_10477,101,10,569.88
KH_10822,211,7,1466.31
KH_10772,229,4,1310.97
KH_10106,14,27,6621.13
KH_10566,52,12,380.75
KH_10390,42,12,1414.24
KH_10002,11,35,4491.67
KH_10938,337,1,85.82
KH_10983,274,2,124.3
KH_10562,67,3,825.95
KH_10081,11,25,3988.5
KH_10206,28,25,2027.07
KH_10035,17,30,7255.22
KH_10776,167,3,900.39
KH_10509,77,9,395.39
KH_10428,52,7,825.45
KH_10455,80,6,772.02
KH_10367,31,16,2472.92
KH_10092,18,31,6385.45
KH_10340,16,18,2165.53
KH_10898,301,1,163.99
KH_10565,79,6,914.78
KH_10346,31,17,1857.01
KH_10777,205,6,662.28
KH_10242,18,15,1643.5
KH_10014,1,24,6964.32
KH_10316,37,12,2014.23
KH_10601,34,7,805.45
KH_10388,29,17,1748.92
KH_10274,32,13,1272.65
KH_10167,44,14,1545.62
KH_10841,187,6,542.61
KH_10993,288,2,97.88
KH_10647,44,4,747.88
KH_10819,78,4,662.55
KH_10485,39,5,694.84
KH_10981,324,1,105.56
KH_10505,66,6,355.43
KH_10832,181,5,488.4
KH_10244,57,9,1832.67
KH_10567,54,7,865.86
KH_10876,234,2,58.61
KH_10563,57,8,822.83
KH_10687,209,2,662.4
KH_10190,48,18,1862.1
KH_10783,122,7,1218.13
KH_10700,150,6,737.34
KH_10476,58,8,442.4
KH_10682,125,4,480.71
KH_10511,54,6,593.05
KH_10059,14,37,6080.89
KH_10475,79,5,546.36
KH_10561,55,5,655.82
KH_10857,158,2,66.28
KH_10748,180,2,661.4
KH_10253,53,14,2072.31
KH_10022,11,24,6571.28
KH_10314,18,21,2073.06
KH_10460,54,9,916.68
